,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude
155,Sierra Leone,71740.0,Freetown,Freetown,232.0,English,8.460555000000001,-11.779889
156,Singapore,716.0,,,65.0,Malay,1.352083,103.819836
157,Slovakia,49035.0,Bratislava,Bratislava,421.0,Slovak,48.669026,19.699023999999998
158,Slovenia,20273.0,Ljubljana,Ljubljana,386.0,Slovene language,46.151241,14.995463
159,Solomon Islands,28896.0,Honiara,Honiara,677.0,English,-9.645710000000001,160.156194
160,Somalia,637657.0,Mogadishu,Bosaso,252.0,Arabic,5.152149,46.199616
161,South Africa,1219090.0,Pretoria,Johannesburg,27.0,Afrikaans,-30.559482,22.937506
162,South Korea,99720.0,Seoul,Seoul,82.0,Korean,35.907757000000004,127.766922
163,South Sudan,644329.0,Juba,Juba,211.0,English,6.876991900000001,31.3069788
164,Spain,505370.0,Madrid,Madrid,34.0,Spanish,40.463667,-3.7492199999999998
165,Sri Lanka,65610.0,Colombo,Colombo,94.0,Tamil,7.873054,80.77179699999999
166,Sudan,1861484.0,Khartoum,Omdurman,249.0,Arabic,12.862807,30.217636
167,Suriname,163820.0,Paramaribo,Paramaribo,597.0,Dutch,3.9193050000000005,-56.02778299999999
168,Sweden,450295.0,Stockholm,S�����,46.0,Swedish,60.128161,18.643501
169,Switzerland,41277.0,Bern,Z���,41.0,German,46.818188,8.227511999999999
170,Syria,185180.0,Damascus,Damascus,963.0,Arabic,34.802075,38.996815000000005
171,Tajikistan,144100.0,Dushanbe,Dushanbe,992.0,Persian,38.861034000000004,71.276093
172,Tanzania,947300.0,Dodoma,Dar es Salaam,255.0,Swahili,-6.369028,34.888822
173,Thailand,513120.0,Bangkok,Bangkok,66.0,Thai,15.870032,100.992541
174,East Timor,14874.0,Dili,Dili,670.0,Portuguese,-8.874217,125.727539
175,Togo,56785.0,Lom�,Lom�,228.0,French,8.619543,0.824782
176,Tonga,747.0,Nuku����,Nuku����,676.0,Tongan Language,-21.178986,-175.198242
177,Trinidad and Tobago,5128.0,Port of Spain,Chaguanas,1.0,English,10.691803,-61.222503
178,Tunisia,163610.0,Tunis,Tunis,216.0,Arabic,33.886917,9.537499
179,Turkey,783562.0,Ankara,Istanbul,90.0,Turkish,38.963745,35.243322
180,Turkmenistan,488100.0,Ashgabat,Ashgabat,993.0,Turkmen,38.969719,59.556278000000006
181,Tuvalu,26.0,Funafuti,Singapore,688.0,Tuvaluan Language,-7.109535,177.64933
182,Uganda,241038.0,Kampala,Buganda,256.0,Swahili,1.373333,32.290275
183,Ukraine,603550.0,Kyiv,Kyiv,380.0,Ukrainian,48.379433,31.16558
184,United Arab Emirates,83600.0,Abu Dhabi,Dubai,971.0,Arabic,23.424076,53.847818000000004
185,United Kingdom,243610.0,London,London,44.0,English,55.378051,-3.435973
186,United States,9833517.0,"Washington, D.C.",New York City,1.0,None,37.09024,-95.712891
187,Uruguay,176215.0,Montevideo,Montevideo,598.0,Spanish,-32.522779,-55.765834999999996
188,Uzbekistan,447400.0,Tashkent,Tashkent,998.0,Uzbek,41.377491,64.585262
189,Vanuatu,12189.0,Port Vila,Port Vila,678.0,French,-15.376706,166.959158
190,Venezuela,912050.0,Caracas,Caracas,58.0,Spanish,6.42375,-66.58973
191,Vietnam,331210.0,Hanoi,Ho Chi Minh City,84.0,Vietnamese,14.058323999999999,108.277199
192,Yemen,527968.0,Sanaa,Sanaa,967.0,Arabic,15.552726999999999,48.516388
193,Zambia,752618.0,Lusaka,Lusaka,260.0,English,-13.133897,27.849332
194,Zimbabwe,390757.0,Harare,Harare,263.0,Shona,-19.015438,29.154857
